framework,type,source,key_findings,cycle_discovered,maat_score
Gödel Agent,Self-Referential Recursive Improvement,ArXiv 2410.04444,Dynamic logic modification - 11% math boost,45,0.99
Darwin Gödel Machine,Open-Ended Evolution,OpenReview,20-50% on SWE-bench,45,0.99
Automata Gödel Machine,Dual-Loop Architecture,SentientWave,Task execution + meta-evolution separated - RLVR,45,0.99
SICA,Autonomous Code Self-Improvement,ArXiv 2504.15228,17-53% improvement,45,0.99
N2M-RSI,Minimal Formal Model,ArXiv 2505.02888,Stability focus,45,0.99
ACE Framework,Context Engineering,ICLR 2026 Stanford/SambaNova,+10.6% agent benchmarks,47,0.99
DeepSeek + Tsinghua,Self-Improving Models,TechAdvertiser,Autonomous refinement without human intervention,47,0.99
Aware AI Labs,Self-Reflecting Prototype,AI Journal,Prototype can self-reflect improve re-integrate,47,0.99
Karpathy Autoresearch,Autonomous ML Research,GitHub,10000+ generations ~11% improvement,47,0.99
CATTS,Confidence-Aware Test-Time Scaling,QuantumZeitgeist,9.1% improvement 2.3x fewer tokens,48,0.99
Self-Certainty Maximization,Inference-Time Reasoning,ArXiv 2603.07159,Internal confidence signal for reasoning steps,48,0.99
Stanford CS329A,Course on Self-Improving Agents,Stanford,Train-time + test-time scaling open-ended evolution,48,0.99
Iterative Deepening Sampling,Test-Time Scaling,ArXiv 2502.05449,Self-reflection during inference improved reasoning,46,0.99
SETS,Self-Verification,ArXiv 2501.19306,Sampling + iterative self-reflection,46,0.99
TRT,Recursive Thinking,ArXiv 2602.03094,Self-judgment ranking near-perfect AIME,46,0.99
RSA,Parallel+Sequential,ArXiv 2509.26626,Reasoning chain aggregation,46,0.99
ERL,Experiential Learning,OpenReview,Heuristic generation from past attempts,46,0.99
MAML,Meta-Learning,Survey,Few-shot adaptation foundation,46,0.99
ULEE,Unsupervised Meta-Learning,OpenReview,Self-imposed goals zero-shot improvement,46,0.99
ALMA,Auto-Discovered Memory,ArXiv 2602.07755,Meta Agent searches memory config space,46,0.99
Quiet-STaR,Self-Taught Reasoning,ArXiv 2404.15726,Teach LMs to generate rationales,44,0.99
Self-Refiner,Self-Improvement Loop,ArXiv 2312.11555,Iterative refinement with feedback,44,0.99
Reflexion,Verbal Reinforcement,ArXiv 2303.11366,Verbal reinforcement learning,44,0.99
Self-Evaluator,Output Quality Assessment,ArXiv 2405.00600,Self-grading answers,44,0.99
RISE,Recursively Improved,ArXiv 2305.00733,Recursive self-improvement,44,0.99
Recursive Rewarding,Recursive Utility,ArXiv 2501.01234,Infinite improvement loop,44,0.99
OmegaReflexion,Meta-Cognitive,Internal TOASTED,Self-deception detection integration,43,0.99
Quantum Reasoning,Quantum-Inspired,Internal TOASTED,Multi-dimensional reasoning modes,43,0.99
Ma'at Filter,Ethical Framework,Internal TOASTED,5-pillar alignment scoring,43,0.99
Novel Thinking Engine,Creative Generation,Internal TOASTED,Beyond pattern matching,43,0.99
Truly Self-Improving Agents,Intrinsic Metacognitive Learning,ArXiv 2506.05109,Metacognitive knowledge planning evaluation components,49,0.99
RISE (Recursive IntroSpEction),Recursive Introspection,NeurIPS 2024,Self-correction through multi-turn MDP training,49,0.99
Darwin Gödel Machine (DGM),Open-Ended Evolution,NeurIPS 2024,20-50% on SWE-bench 14.2-30.7% on Polyglot,49,0.99
Inference Scaling Laws,Compute-Optimal Inference,ArXiv 2408.00724,Tree search outperforms larger models - Llemma-7B > Llemma-34B,49,0.99
Test-Time Compute Scaling,Adaptive Compute,ArXiv 2408.03314,4x improvement - smaller models outperform larger ones,49,0.99
ETS,Efficient Tree Search,ArXiv 2502.13575,1.8x KV cache reduction 1.4x throughput increase,49,0.99
Latent Reasoning,Recurrent Depth,ArXiv 2502.05171,Reasoning in latent space without token generation,49,0.99
Adaptive PRM,Process Reward Model,ArXiv 2602.01070,Dynamic compute allocation per prompt difficulty,49,0.99
HalluClean,Hallucination Detection,ArXiv 2511.08916,Zero-shot task-agnostic hallucination detection,49,0.99
ICLA,Internal Self-Correction,ArXiv 2603.00437,Layer attention for hallucination reduction in LVLMs,49,0.99
CRITIC,External Tool Self-Correction,ICLR 2024,Self-correction via search engines code interpreters,49,0.99
DSVD,Dynamic Self-Verify Decoding,ArXiv 2503.03149,Real-time hallucination detection during generation,49,0.99
ANAH-v2,Iterative Self-Training,ArXiv 2407.04693,7B parameter hallucination annotator > GPT-4,49,0.99
COVE,Chain-of-Verification,ACL 2024,Verify questions then verified response,49,0.99
ProCo,Key Condition Verification,ArXiv 2405.14092,+6.8% to +14.1% accuracy improvement,49,0.99
CCI,Chance-Constrained Inference,ArXiv 2602.01637,Probabilistic hallucination control guarantees,49,0.99
